,course,channel_name,playlist_id
105,SQL &amp; Data Analytics for Beginners,DataDash,PLovfz5BWiPa3VIOdSjLrV1cu2sKFiXixh
106,Oracle SQL Developer Videos,Jeff Smith,PL_qNe_aTKkIUUzDEJ7KuvyldBuynyoDb2
107,Kurs SQL,nieinformatyk,PL8g9gILZp1OJpjlu7AuR9Ysu4z5Rff_AQ
108,SQL Administration Full Course (How to be SQL DBA) in Arabic,Ahmed Samir El Khadrawy,PL1565idytjOSaLkBFEaX_219neP5aO0Yx
109,Azure SQL for beginners,Microsoft Developer,PLlrxD0HtieHi5c9-i_Dnxw9vxBY-TqaeN
110,Langage SQL : Intérroger une base de données,coursaline,PLB9AbbTDeBzQogvD5pvCH4TotjmYCJlY_
111,SQL tutorials for beginners | HINDI,Tutorial007,PLx_KyK8sU66Vz4-YhV0Ux_Sf4_zH27m_r
112,شرح  SQL Language DataBase,Mohamed Ramadan Abdallah محمد رمضان,PLd6o9p13Lc50MNeph8RQaBILOHr8GMIkB
113,Уроки C# .NET Windows Forms + Базы данных SQL,Гоша Дударь,PL0lO_mIqDDFWOMqSKFaLypANf1W7-o87q
114,SQL For Testers,SDET - QA Automation Techie,PLUDwpEzHYYLt0aRs7gvyEEviMp_CoTO3q
115,الدورة الشاملة لمطور تطبيقات سطح المكتب  برمجة + تسويق (SQL +#C),Mahmoud Bakr,PLDQ11FgmbqQM5_9yvfX5BedruJ3X1KJJj
116,SQL,Prof. Dr. Jens Dittrich,PLC4UZxBVGKte0o6iUssqQVmXhryrOqPXi
117,Curso Gratuito de SQL Server,Locura Informática Digital,PL954bYq0HsCWcRM-f2iva9T33ELw6VZvR
118,PL-SQL tutorial for Beginners in Hindi and English,Easy Engineering Classes,PLV8vIYTIdSnadFpRMvtA260-3-jkIDFaG
119,PL/SQL Oracle 11g,Anthony Baquerizo,PL73weCIiJDaYlZKE-ffQjDUKks2tYOVpI
120,SQL Accounting Tutorial,syntaxtechnologies,PL5fR9QcRlu_JGT78XUQW2ebdQjXyiQPzd
121,SQL,Hamza Nabil,PL609LHOw-3gK2VXEtXPyAWHFAYz1A5SLG
122,SQL入門,チュートリアル道場,PLXOP1_-wmgsAB9S0cgM2z3DCQTFoetEVB
123,PL/SQL tutorial for beginners in hindi By Tech Talk Tricks,Tutorial007,PLx_KyK8sU66Wr1Pcqqf-6XTF8H_Zg0IxF
124,SQL Developer Tutorials for beginners,Manish Sharma,PLMlNiWEoh5QrLU6C7_Ad71UtRpACh3FdQ
125,Crea aplicaciones para windows con C# y SQL en 4 capas,Formando Código,PLnWAzeXp9V4kjwKztMiBYPo2ncAjI2QqD
126,Microsoft SQL Server 2012 Exam 70-461,O'Reilly - Video Training,PLtNErhYMkHnH6nrz4YRP-syd7iDlp3ecu
127,SQL Tutorials Deutsch,The Morpheus Tutorials,PLNmsVeXQZj7qYPusTRflv3tkzhYoT-KiB
128,SQL Server Database Development,yayobe Yoseph,PLttptd1HG9Q5Oc3ND88TJSCeo_d7xMrxw
129,Postgre SQL Dersleri,Murat Yücedağ,PLKnjBHu2xXNOooo9pcx5Dw-6zOyk1rwyO
130,PRAGIMTECH - SQL SERVER TUTORIAL,Gustavo Sanchez,PL_nMO-wncU0nYz_BFwHJENd2YWoobA9Ly
131,SQL lessons,Magic Monk,PLzr5fRV1AGV8dEGsRkghCpXNGEFI1PFaA
132,SQL server DBA دورة قواعد البيانات - كورس ادارة وحماية,Citystarit-موقع تعليمي,PLMLg4SyrAROHJu1gsB6v9IkOmuWTshtP0
133,Java programming training |Java GUI with SQL Tutorial,Indra Subedi,PLJ5y5njLJrx-PYJfONhCV4nNRmj7vJ-A4
134,oracle sql practice exercises with solutions,Siva Academy,PLb1qVSx1k1VpEqAXgoFn5p7kFVzgsvUgM
135,PL/SQL,radhikaravikumar,PL28YtFoet8RXjI8cpwOZqcQvW82TEodiA
136,SQL (Structured Query Language) Class 12 Computer Science,Edutainment 1.0,PLDA2q3s0-n14iIlwDn4axGK9omDNQNu_J
137,شرح  2012 SQL Server Administration بالعربي,Hussein Abd Allah ElGanzory,PLx5yn1EeCC_5k6rPPz_YOkLW9AbYaIvCD
138,SQL Server 2014 Tutorial,Mayank Sanghvi,PLDuz-a09ozgcTn-x6l5WY8ZUyCi8W4b24
139,SQL SERVER 2017,G. Tech,PLTU76O6uRMfQixOnW0IAdDxwCM40M8rTl
140,formation SQL Server,Th3Wiki,PLmBevUL_gLxlRw0ZTT3gaJmnF_6SlOtVn
141,Advanced Sql Tutorial,Free Online Courses,PLw_k9CF7hBpIFmHUyz2jQ3Fo7yYW9jeol
142,SQL tutorials /Oracle Database tutorials for beginners,Manish Sharma,PLMlNiWEoh5QqSvF_3wDxXqVA5pPTcuwZQ
143,langage SQL,samir elachouri,PLFHvrovU0ghF_2yBS9qQE0Mrld4zMwbFl
144,Langage SQL niveau I (Débutant),Mohamed IDBRAHIM,PLNAMnK22kwLYABtwZFcshjfBrmVEC_sgg
145,[Arabic - عربي] SQL Server 2014 BI - تعليم باللغة العربية,Ayman El-Ghazali,PLq7cQMGDozxVyotiWCUAteMfMvwJc8k2e
146,Oracle PL/SQL forms reports,Neri Neitzke,PLEC1E4BDD89EDF865
147,SQLSERVER Kurdish Tutorials (  بەزمانی كوردی SQL فیركاری),Mohamad Abdulxalq,PLMhO_ohUts0u3hzDJqmwTKe7H2HFmFJIU
148,Microsoft SQL Server  ( In Tamil ),Collectiva Knowledge Academy,PLmjuBlzAWCzwEnssE9xPgPUd1ZlNCHKqS
149,Curso SQL SERVER 2008 R2,MADRUGADOR2010,PLBaM4rnPCmV795SEYozdn8w-eNQ-ky5IO
150,Introduction to Oracle SQL,Database Star,PLZDOU071E4v6bO3cXRZ8WYXIWHN2JsrnU
151,Database oracle by SQL level 1 by arabic,محمد شوشان,PLnzqK5HvcpwSVld_3zm6CTLnX2Bge_7Vi
152,SQL Server Integration Services (SSIS) Tutorial,SS UNITECH,PLNRxk1s77zfjHT1pBaO-Vxyk-9la8zGHd
153,SQL Básico ao Avançado 2019,Dev Aprender,PLnNURxKyyLIInBfeGiJ8L314AD015mHkv
154,SQL Advanced - examples using Oracle,J Kreie Database,PL1MJdy9N8XJLmdjr00uz7AIjwA-cIK7i-
155,SQL Server DBA Daily Tasks,Coach-In-A-Can™,PL2OCqTrF9G1jM8yIWmjWYipSD89TJiz4t
156,SQL SERVER in TAMIL,ManisoftDevelopers,PLiakB9XATIaa-CFXzO70kmW5-t8UFDEZ1
