,course,channel_name,playlist_id
79,Data Analysis with Python and Pandas,sentdex,PLQVvvaa0QuDc-3szzjeP6N6b0aDrrKyL-
80,Python GUI: Tkinter Tutorial In Hindi 2019,CodeWithHarry,PLu0W_9lII9ajLcqRcj4PoEihkukF_OTzA
81,Python para Zumbis,Python para Zumbis,PLUukMN0DTKCtbzhbYe2jdF4cr8MOWClXc
82,Kurs Python 3,Piotr Baja,PLdBHMlEKo8UcOaykMssI1_X6ui0tzTNoH
83,Machine Learning Tutorials For Beginners Using Python In Hindi,CodeWithHarry,PLu0W_9lII9ai6fAMHp-acBmJONT7Y4BSG
84,Keras - Python Deep Learning Neural Network API,deeplizard,PLZbbT5o_s2xrwRnXk_yCPtnqqo4_u2YGL
85,Machine Learning Tutorial in Python | Edureka,edureka!,PL9ooVrP1hQOHUfd-g8GUpKI3hHOwM_9Dn
86,Python Web Scraping &amp; Crawling using Scrapy,buildwithpython,PLhTjy8cBISEqkN-5Ku_kXG4QW33sxQo0t
87,Scikit-learn Machine Learning with Python and SKlearn,sentdex,PLQVvvaa0QuDd0flgGphKCej-9jp-QdzZ3
88,Sıfırdan İleri Seviye Profesyonel Python Yazılım Geliştiricisi Olma Kursu,Mert Mekatronik,PLK6Whnd55IH5i1klkNSBDasIaO77l-Bm9
89,[Hindi] Web Development Using Flask and Python,CodeWithHarry,PLu0W_9lII9agAiWp6Y41ueUKx1VcTRxmf
90,"Deep Learning basics with Python, TensorFlow and Keras",sentdex,PLQVvvaa0QuDfhTox0AjmQ6tvTgMBZBEXN
91,Aprender a programar con Python para niños,Jesús Conde,PLEtcGQaT56chpYflEjBWRodHJNJN8EKpO
92,Python 3 Tutorial for Beginners,ProgrammingKnowledge,PLS1QulWo1RIYt4e0WnBp-ZjCNq8X0FX0J
93,APPRENDRE LE PYTHON,Graven - Développement,PLMS9Cy4Enq5JmIZtKE5OHJCI3jZfpASbR
94,Создание сайта на Django / Уроки Python Django,Гоша Дударь,PL0lO_mIqDDFXx5_8RmAqAmD_Cdb9DV-H5
95,Pandas Tutorials,Corey Schafer,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS
96,Python - Data Structures &amp; Algorithms (NPTEL),Chaitanya Tejaswi,PL3pGy4HtqwD02GVgM96-V0sq4_DSinqvf
97,Python Network Programming - TCP/IP Socket Programming,buildwithpython,PLhTjy8cBISErYuLZUvVOYsR1giva2payF
98,Selenium with Python,SDET - QA Automation Techie,PLUDwpEzHYYLvx6SuogA7Zhb_hZl3sln66
99,Intermediate Python Programming,sentdex,PLQVvvaa0QuDfju7ADVp5W1GF9jVhjbX-_
100,Curso de programación Python desde cero,La Geekipedia De Ernesto,PLyvsggKtwbLW1j0d5yaCkRF9Axpdlhsxz
101,CURSO: MACHINE LEARNING CON PYTHON,AprendeIA con Ligdi Gonzalez,PLJjOveEiVE4Dk48EI7I-67PEleEC5nxc3
102,PYTHON SPÉCIAL MACHINE LEARNING,Machine Learnia,PLO_fdPEVlfKqMDNmCFzQISI2H_nJcEDJq
103,Class 11 Computer Science with Python,Edutainment 1.0,PLDA2q3s0-n16O9RdZ8vbm0cj_tSsTRe3r
104,Python Web Crawler Tutorials,thenewboston,PL6gx4Cwl9DGA8Vys-f48mAH9OKSUyav0q
105,CS50&#39;s Web Programming with Python and JavaScript,CS50,PLhQjrBD2T382hIW-IsOVuXP1uMzEvmcE5
106,Bangla Python Tutorial for Beginners,StartBit,PLlBKlxyCgmsCYJLq9qc5QzaU-oBFJN79B
107,Python 3 Tutorial for Beginners,The Net Ninja,PL4cUxeGkcC9idu6GZ8EU_5B6WpKTdYZbK
108,Yeni Başlayanlar İçin Python Dersleri 2019,Arin Yazilim,PL-Hkw4CrSVq9Y_RP7Q9Kn-bgZvVdl1cBy
109,Programmieren Lernen: Python Tutorial,Diddy Development,PL_tdPUem3eE_k40i65IdRPWrAZxoHcN4o
110,Learning to Code with Python,KidsCanCode,PLsk-HSGFjnaGe7sS_4VpZoEtZF2VoWtoR
111,Kivy Tutorials Python,Tech With Tim,PLzMcBGfZo4-kSJVMyYeOQ8CXJ3z1k7gHn
112,Data Science Full Course For Beginners | Python Data Science Tutorial | Data Science With Python,codebasics,PLeo1K3hjS3us_ELKYSj_Fth2tIEkdKXvV
113,Raspberry Pi and Python Tutorials,sentdex,PLQVvvaa0QuDesV8WWHLLXW_avmTzHmJLv
114,Minecraft || Python&#39;s World (Survival Let&#39;s Play) - S2 (FINISHED),PythonMC,PLbFBnggbJ1rlqoL17jI_WbS4jSV173wJM
115,Python Machine Learning Tutorials,Tech With Tim,PLzMcBGfZo4-mP7qA9cagf68V06sko5otr
116,Python - Programming Language | Tutorial,Mike Dane,PLLAZ4kZ9dFpMMs5lskzBApYXn0bl7emsW
117,دورة Python 3 اساسيات ومتقدم,Muhammed Essa,PLMYF6NkLrdN98I0nEXOuR_gK8b4w-NJcN
118,PyQt5 Python 3 Tutorial,Tech With Tim,PLzMcBGfZo4-lB8MZfHPLTEHO9zJDDLpYj
119,Python Django Tutorials,Mike Hibbert,PLxxA5z-8B2xk4szCgFmgonNcCboyNneMD
